timestep	bcc	fcc	amorf
40550	0.9971364743709564	1.9987623916950524e-07	0.0028633320982335135
3425	0.7195124464202672	2.3833158104491047e-05	0.2804637243129546
37550	0.9050682705491782	6.198565399680556e-06	0.09492554003835539
6200	0.34671159583650296	5.346968818888698e-05	0.6532349364361726
26950	0.024893016151759356	0.0016715240758661913	0.9734354602694512
35050	0.5451356470566825	3.5923757155565284e-05	0.45482842864934353
33725	0.3278374732075536	6.754187173449111e-05	0.6720949839502574
41400	0.9981949343681336	1.0493815020695685e-07	0.0018049735741660698
16625	0.010649700640983114	0.006562773740752633	0.9827875258922577
47475	0.997203515291214	3.1997177379672337e-07	0.002796177935524611
16225	0.009400986570293129	0.003141717244999171	0.9874572894573211
15925	0.00772935236462429	0.001773661275666555	0.9904969871044159
3300	0.8647122105881572	7.912906811440523e-06	0.1352798850008985
20975	0.0011634321976090546	0.0077384826912624965	0.9910980837643146
33200	0.28311197764912505	9.182016663637649e-05	0.7167962036021054
3625	0.7669293188117444	1.906777444807295e-05	0.23305161361640786
11100	0.05488385880509532	0.0016509198918616549	0.9434652231633663
33900	0.3199375508090743	9.204868029167912e-05	0.6799704020312056
19025	0.0012346640655779878	0.0028049658187176245	0.9959603695869446
9400	0.13869967309130243	0.00012197296501392607	0.8611783554367721
31100	0.10652340227170953	0.0007522698557242	0.8927243311330676
17250	0.004607921215454525	0.0037820296124082826	0.9916100443601609
26500	0.03125398399641563	0.0008570182029601723	0.9678889971971512
40075	0.9984498620033264	9.447943542606474e-08	0.001550047928612912
9250	0.11840273969894446	0.0002612397182752915	0.8813360214829445
8300	0.20624458016698555	0.00011630206764454699	0.7936391164762899
45525	0.9981429538726807	1.298853758822105e-07	0.001856920231206459
33500	0.28982090722923204	0.00018255968655815025	0.7099965337663889
550	0.9986400620937348	1.7504763603870543e-07	0.001359770073686377
43150	0.9975200352668763	1.9326775971917344e-07	0.002479780738547561
20350	0.0014562868166677863	0.004676914792561804	0.9938668022155762
21800	0.004288945754607525	0.00358684198946483	0.9921242108345032
38650	0.9483495806455612	2.5755261481612557e-06	0.05164785018458497
6975	0.266598083183766	0.00010146302583913425	0.7333004525022115
35200	0.5891503630917286	3.2250936664357964e-05	0.41081739039195236
37150	0.8321816734336317	1.4421038339754499e-05	0.16780390541860835
7550	0.17329449937249228	7.46219684403967e-05	0.8266308779343963
31175	0.15281943058428443	0.0003503149303890183	0.8468302523940802
45725	0.9966318898200989	2.770857491292134e-07	0.0033678426647529703
34250	0.4564993507618783	0.00013638172445211793	0.5433642670572736
41975	0.9962169494628906	2.1378228651180998e-07	0.0037828458304866217
36300	0.6172524067686173	2.8309323473141745e-05	0.3827192853418528
1475	0.9601030538529157	3.061270973788499e-06	0.03989388834120473
9625	0.12771598142423135	0.0009458978305079775	0.8713381212521344
25300	0.008021253556559345	0.0011002946931356803	0.9908784482479095
21425	0.0016444028743497867	0.003031078730515506	0.9953245177268982
41225	0.9985654594898223	7.138609576484712e-08	0.001434472352353623
44400	0.9973108034133911	1.084163804265792e-07	0.0026890966494975146
2725	0.8966170718315989	8.736964918871771e-06	0.10337419094215147
34675	0.46741451893141495	3.7145224612485706e-05	0.5325483360991348
49525	0.9984959051609039	6.844512208803443e-08	0.0015040376288961853
39250	0.9907255095243453	8.073439166187413e-07	0.009273685944732279
2775	0.9153042754605413	9.585915689609093e-06	0.08468614674670971
11025	0.07332849738219807	0.00043413784238143015	0.9262373630329966
35075	0.5195452536752855	3.076767652649881e-05	0.48042398265656083
675	0.9991220703125	6.038706081756829e-08	0.0008778764758317265
17775	0.0065046715181211285	0.004740824930418286	0.9887544990777969
37225	0.8073539140708744	1.204830831418846e-05	0.1926340408482356
32700	0.2203608138929412	6.218129204791011e-05	0.7795770021229982
1125	0.9850108863115311	7.562412590038647e-07	0.014988366053032224
17450	0.010157176382897091	0.002031440911827353	0.9878113839626312
26525	0.014297793608202483	0.0019043733797474594	0.9837978357076644
20950	0.0012577554685081153	0.00404966757592759	0.9946925776004791
39050	0.9808885212540627	2.088944507285806e-06	0.019109391965030226
37025	0.7397771989980246	1.4068045321177892e-05	0.26020874033874136
10575	0.0593240420758591	0.0009061597511311828	0.9397697986662388
20575	0.0014118449801763617	0.004300505405112882	0.9942876493930817
7575	0.1784585808892134	0.0001512870877153939	0.8213901335233822
38050	0.9104744844287634	4.163799017036229e-06	0.08952135280420771
27825	0.03038226039052279	0.00035627092343204313	0.9692614663839341
38125	0.928468347530812	5.830436658683435e-06	0.07152582262837677
